"TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"3_FISH","pesce almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y65-74","65-74 anni","2022","2022",66.4,,
"3_FISH","pesce almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y65-74","65-74 anni","2023","2023",62.9,,
"3_PORK","carni maiale almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y25-34","25-34 anni","2022","2022",54.7,,
"3_PORK","carni maiale almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y25-34","25-34 anni","2023","2023",52,,
"3_PORK","carni maiale almeno qualche volta alla settimana","THV","valori in migliaia","9","totale","Y_GE3","3 anni e più","2022","2022",24730,,
"3_PORK","carni maiale almeno qualche volta alla settimana","THV","valori in migliaia","9","totale","Y_GE3","3 anni e più","2023","2023",25671,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y25-34","25-34 anni","2022","2022",58.5,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y25-34","25-34 anni","2023","2023",57.9,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y3-5","3-5 anni","2022","2022",64.5,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y3-5","3-5 anni","2023","2023",68.1,,
"3_FISH","pesce almeno qualche volta alla settimana","THV","valori in migliaia","1","maschi","Y60-64","60-64 anni","2022","2022",1245,,
"3_FISH","pesce almeno qualche volta alla settimana","THV","valori in migliaia","1","maschi","Y60-64","60-64 anni","2023","2023",1246,,
"3_FISH","pesce almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y3-5","3-5 anni","2022","2022",67.3,,
"3_FISH","pesce almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y3-5","3-5 anni","2023","2023",67.4,,
"3_FISH","pesce almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y20-24","20-24 anni","2022","2022",57.9,,
"3_FISH","pesce almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y20-24","20-24 anni","2023","2023",60.7,,
"3_WH_MEAT","carni bianche almeno qualche volta alla settimana","THV","valori in migliaia","2","femmine","Y_GE75","75 anni e più","2022","2022",3209,,
"3_WH_MEAT","carni bianche almeno qualche volta alla settimana","THV","valori in migliaia","2","femmine","Y_GE75","75 anni e più","2023","2023",3300,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","THV","valori in migliaia","2","femmine","Y55-59","55-59 anni","2022","2022",1263,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","THV","valori in migliaia","2","femmine","Y55-59","55-59 anni","2023","2023",1331,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","THV","valori in migliaia","2","femmine","Y15-17","15-17 anni","2022","2022",552,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","THV","valori in migliaia","2","femmine","Y15-17","15-17 anni","2023","2023",484,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y55-59","55-59 anni","2022","2022",62,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y55-59","55-59 anni","2023","2023",60.9,,
"3_EGG","uova  almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y15-17","15-17 anni","2022","2022",64.6,,
"3_EGG","uova  almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y15-17","15-17 anni","2023","2023",67.2,,
"3_WH_MEAT","carni bianche almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y_GE75","75 anni e più","2022","2022",77.6,,
"3_WH_MEAT","carni bianche almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y_GE75","75 anni e più","2023","2023",78,,
"3_EGG","uova  almeno qualche volta alla settimana","THV","valori in migliaia","9","totale","Y45-54","45-54 anni","2022","2022",6184,,
"3_EGG","uova  almeno qualche volta alla settimana","THV","valori in migliaia","9","totale","Y45-54","45-54 anni","2023","2023",6170,,
"3_PORK","carni maiale almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE75","75 anni e più","2022","2022",35.1,,
"3_PORK","carni maiale almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE75","75 anni e più","2023","2023",39.8,,
"3_EGG","uova  almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y45-54","45-54 anni","2022","2022",68.5,,
"3_EGG","uova  almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y45-54","45-54 anni","2023","2023",68,,
"3_CCUT","salumi almeno qualche volta alla settimana","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2022","2022",3570,,
"3_CCUT","salumi almeno qualche volta alla settimana","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2023","2023",3747,,
"3_PORK","carni maiale almeno qualche volta alla settimana","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2022","2022",627,,
"3_PORK","carni maiale almeno qualche volta alla settimana","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2023","2023",592,,
"3_CCUT","salumi almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y25-34","25-34 anni","2022","2022",54.9,,
"3_CCUT","salumi almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y25-34","25-34 anni","2023","2023",56.6,,
"3_WH_MEAT","carni bianche almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y60-64","60-64 anni","2022","2022",76.6,,
"3_WH_MEAT","carni bianche almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y60-64","60-64 anni","2023","2023",76.7,,
"3_EGG","uova  almeno qualche volta alla settimana","THV","valori in migliaia","2","femmine","Y18-19","18-19 anni","2022","2022",406,,
"3_EGG","uova  almeno qualche volta alla settimana","THV","valori in migliaia","2","femmine","Y18-19","18-19 anni","2023","2023",390,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","THV","valori in migliaia","1","maschi","Y_GE3","3 anni e più","2022","2022",18365,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","THV","valori in migliaia","1","maschi","Y_GE3","3 anni e più","2023","2023",18148,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y18-19","18-19 anni","2022","2022",64.8,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y18-19","18-19 anni","2023","2023",59.3,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","2022","2022",503,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","2023","2023",477,,
"3_FISH","pesce almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE75","75 anni e più","2022","2022",60.8,,
"3_FISH","pesce almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE75","75 anni e più","2023","2023",60.3,,
"3_CCUT","salumi almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y45-54","45-54 anni","2022","2022",64.8,,
"3_CCUT","salumi almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y45-54","45-54 anni","2023","2023",66.7,,
"3_PORK","carni maiale almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-19","18-19 anni","2022","2022",54.4,,
"3_PORK","carni maiale almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-19","18-19 anni","2023","2023",53.4,,
"3_WH_MEAT","carni bianche almeno qualche volta alla settimana","THV","valori in migliaia","2","femmine","Y3-5","3-5 anni","2022","2022",577,,
"3_WH_MEAT","carni bianche almeno qualche volta alla settimana","THV","valori in migliaia","2","femmine","Y3-5","3-5 anni","2023","2023",516,,
"3_PORK","carni maiale almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y35-44","35-44 anni","2022","2022",45.3,,
"3_PORK","carni maiale almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y35-44","35-44 anni","2023","2023",46.7,,
"3_CCUT","salumi almeno qualche volta alla settimana","THV","valori in migliaia","2","femmine","Y25-34","25-34 anni","2022","2022",1668,,
"3_CCUT","salumi almeno qualche volta alla settimana","THV","valori in migliaia","2","femmine","Y25-34","25-34 anni","2023","2023",1699,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y60-64","60-64 anni","2022","2022",59.6,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y60-64","60-64 anni","2023","2023",61.1,,
"3_PORK","carni maiale almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y60-64","60-64 anni","2022","2022",37.9,,
"3_PORK","carni maiale almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y60-64","60-64 anni","2023","2023",40.9,,
"3_WH_MEAT","carni bianche almeno qualche volta alla settimana","THV","valori in migliaia","9","totale","Y60-64","60-64 anni","2022","2022",3117,,
"3_WH_MEAT","carni bianche almeno qualche volta alla settimana","THV","valori in migliaia","9","totale","Y60-64","60-64 anni","2023","2023",3163,,
"3_FISH","pesce almeno qualche volta alla settimana","THV","valori in migliaia","1","maschi","Y35-44","35-44 anni","2022","2022",2278,,
"3_FISH","pesce almeno qualche volta alla settimana","THV","valori in migliaia","1","maschi","Y35-44","35-44 anni","2023","2023",2135,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y20-24","20-24 anni","2022","2022",60.8,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y20-24","20-24 anni","2023","2023",54.4,,
"3_CCUT","salumi almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE3","3 anni e più","2022","2022",53.9,,
"3_CCUT","salumi almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE3","3 anni e più","2023","2023",55,,
"3_CCUT","salumi almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y3-5","3-5 anni","2022","2022",42.7,,
"3_CCUT","salumi almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y3-5","3-5 anni","2023","2023",44.1,,
"3_EGG","uova  almeno qualche volta alla settimana","THV","valori in migliaia","2","femmine","Y6-10","6-10 anni","2022","2022",875,,
"3_EGG","uova  almeno qualche volta alla settimana","THV","valori in migliaia","2","femmine","Y6-10","6-10 anni","2023","2023",888,,
"3_CCUT","salumi almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y20-24","20-24 anni","2022","2022",69.7,,
"3_CCUT","salumi almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y20-24","20-24 anni","2023","2023",72.9,,
"3_WH_MEAT","carni bianche almeno qualche volta alla settimana","THV","valori in migliaia","9","totale","Y11-14","11-14 anni","2022","2022",1900,,
"3_WH_MEAT","carni bianche almeno qualche volta alla settimana","THV","valori in migliaia","9","totale","Y11-14","11-14 anni","2023","2023",1905,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y6-10","6-10 anni","2022","2022",61.6,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y6-10","6-10 anni","2023","2023",69,,
"3_EGG","uova  almeno qualche volta alla settimana","THV","valori in migliaia","2","femmine","Y15-17","15-17 anni","2022","2022",513,,
"3_EGG","uova  almeno qualche volta alla settimana","THV","valori in migliaia","2","femmine","Y15-17","15-17 anni","2023","2023",500,,
"3_FISH","pesce almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y45-54","45-54 anni","2022","2022",61.9,,
"3_FISH","pesce almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y45-54","45-54 anni","2023","2023",59.7,,
"3_FISH","pesce almeno qualche volta alla settimana","THV","valori in migliaia","1","maschi","Y25-34","25-34 anni","2022","2022",2018,,
"3_FISH","pesce almeno qualche volta alla settimana","THV","valori in migliaia","1","maschi","Y25-34","25-34 anni","2023","2023",1906,,
"3_FISH","pesce almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y3-5","3-5 anni","2022","2022",61.9,,
"3_FISH","pesce almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y3-5","3-5 anni","2023","2023",68.8,,
"3_FISH","pesce almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y15-17","15-17 anni","2022","2022",55.8,,
"3_FISH","pesce almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y15-17","15-17 anni","2023","2023",55.4,,
"3_CCUT","salumi almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y55-59","55-59 anni","2022","2022",64.9,,
"3_CCUT","salumi almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y55-59","55-59 anni","2023","2023",61.8,,
"3_WH_MEAT","carni bianche almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y35-44","35-44 anni","2022","2022",81.3,,
"3_WH_MEAT","carni bianche almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y35-44","35-44 anni","2023","2023",81,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","THV","valori in migliaia","1","maschi","Y55-59","55-59 anni","2022","2022",1406,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","THV","valori in migliaia","1","maschi","Y55-59","55-59 anni","2023","2023",1431,,
"3_EGG","uova  almeno qualche volta alla settimana","THV","valori in migliaia","2","femmine","Y11-14","11-14 anni","2022","2022",758,,
"3_EGG","uova  almeno qualche volta alla settimana","THV","valori in migliaia","2","femmine","Y11-14","11-14 anni","2023","2023",692,,
"3_PORK","carni maiale almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y11-14","11-14 anni","2022","2022",46.1,,
"3_PORK","carni maiale almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y11-14","11-14 anni","2023","2023",54.8,,
"3_EGG","uova  almeno qualche volta alla settimana","THV","valori in migliaia","9","totale","Y15-17","15-17 anni","2022","2022",1087,,
"3_EGG","uova  almeno qualche volta alla settimana","THV","valori in migliaia","9","totale","Y15-17","15-17 anni","2023","2023",1107,,
"3_EGG","uova  almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y6-10","6-10 anni","2022","2022",71.9,,
"3_EGG","uova  almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y6-10","6-10 anni","2023","2023",70.5,,
"3_WH_MEAT","carni bianche almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y35-44","35-44 anni","2022","2022",82.1,,
"3_WH_MEAT","carni bianche almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y35-44","35-44 anni","2023","2023",82.1,,
"3_EGG","uova  almeno qualche volta alla settimana","THV","valori in migliaia","9","totale","Y55-59","55-59 anni","2022","2022",3099,,
"3_EGG","uova  almeno qualche volta alla settimana","THV","valori in migliaia","9","totale","Y55-59","55-59 anni","2023","2023",3038,,
"3_CCUT","salumi almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y60-64","60-64 anni","2022","2022",59.4,,
"3_CCUT","salumi almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y60-64","60-64 anni","2023","2023",64.3,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","THV","valori in migliaia","1","maschi","Y18-19","18-19 anni","2022","2022",452,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","THV","valori in migliaia","1","maschi","Y18-19","18-19 anni","2023","2023",434,,
"3_CCUT","salumi almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y18-19","18-19 anni","2022","2022",61,,
"3_CCUT","salumi almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y18-19","18-19 anni","2023","2023",64.9,,
"3_PORK","carni maiale almeno qualche volta alla settimana","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2022","2022",1425,,
"3_PORK","carni maiale almeno qualche volta alla settimana","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2023","2023",1475,,
"3_PORK","carni maiale almeno qualche volta alla settimana","THV","valori in migliaia","9","totale","Y6-10","6-10 anni","2022","2022",1115,,
"3_PORK","carni maiale almeno qualche volta alla settimana","THV","valori in migliaia","9","totale","Y6-10","6-10 anni","2023","2023",1243,,
"3_CCUT","salumi almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y35-44","35-44 anni","2022","2022",65,,
"3_CCUT","salumi almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y35-44","35-44 anni","2023","2023",65.2,,
"3_PORK","carni maiale almeno qualche volta alla settimana","THV","valori in migliaia","2","femmine","Y_GE75","75 anni e più","2022","2022",1453,,
"3_PORK","carni maiale almeno qualche volta alla settimana","THV","valori in migliaia","2","femmine","Y_GE75","75 anni e più","2023","2023",1685,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y6-10","6-10 anni","2022","2022",68.8,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y6-10","6-10 anni","2023","2023",70.3,,
